geleden/[7,8]|adj|hd/me|jaar/[6,7]|noun|1
maar/[12,13]|vg|crd/cnj|in/[10,11]|adj|1
maar/[12,13]|vg|crd/cnj|start_scherm/[15,16]|noun|1
start_scherm/[15,16]|noun|hd/det|het/[14,15]|det|1
start_scherm/[15,16]|noun|hd/mod|alleen/[16,17]|adv|1
start_scherm/[15,16]|noun|hd/mod|weer/[13,14]|adv|1
top/top|top|top/hd|heb/[1,2]|verb|1
blijf/[8,9]|verb|hd/su|telefoon/[10,11]|noun|1
blijf/[8,9]|verb|hd/vc|doe/[12,13]|verb|1
doe/[12,13]|verb|hd/mod|nog/[7,8]|adv|1
doe/[12,13]|verb|hd/obj1|niets/[11,12]|noun|1
doe/[12,13]|verb|hd/su|telefoon/[10,11]|noun|1
en/[6,7]|vg|-- / --|./[13,14]|punct|1
en/[6,7]|vg|crd/cnj|blijf/[8,9]|verb|1
en/[6,7]|vg|crd/cnj|probeer/[1,2]|verb|1
factory reset,/[4,6]|name|hd/det|een/[3,4]|det|1
probeer/[1,2]|verb|hd/mod|zelfs/[2,3]|adv|1
probeer/[1,2]|verb|hd/obj1|factory reset,/[4,6]|name|1
probeer/[1,2]|verb|hd/su|ik/[0,1]|pron|1
telefoon/[10,11]|noun|hd/det|de/[9,10]|det|1
top/top|top|top/hd|en/[6,7]|vg|1
aan/[3,4]|prep|hd/obj1|telefoon/[5,6]|noun|1
die/[6,7]|pron|rhd/body|heb/[10,11]|verb|1
geld/[1,2]|noun|-- / --|./[13,14]|punct|1
geld/[1,2]|noun|hd/det|veel/[0,1]|adj|1
geld/[1,2]|noun|hd/mod|weggegooid/[2,3]|adj|1
heb/[10,11]|verb|hd/su|die/[6,7]|pron|1
heb/[10,11]|verb|hd/vc|kan/[11,12]|verb|1
kan/[11,12]|verb|hd/su|die/[6,7]|pron|1
kan/[11,12]|verb|hd/vc|los_in/[12,13]|verb|1
los_in/[12,13]|verb|hd/mod|nooit/[7,8]|adv|1
los_in/[12,13]|verb|hd/obj1|verwachting/[9,10]|noun|1
los_in/[12,13]|verb|hd/su|die/[6,7]|pron|1
telefoon/[5,6]|noun|hd/det|een/[4,5]|det|1
telefoon/[5,6]|noun|hd/mod|die/[6,7]|pron|1
top/top|top|top/hd|geld/[1,2]|noun|1
verwachting/[9,10]|noun|hd/det|de/[8,9]|det|1
weggegooid/[2,3]|adj|hd/mod|aan/[3,4]|prep|1
ster/[1,2]|noun|-- / --|./[2,3]|punct|1
ster/[1,2]|noun|hd/det|25/[0,1]|num|1
top/top|top|top/hd|ster/[1,2]|noun|1
