PROPNAMEketen/[6,7]|name|hd/det|de/[5,6]|det|1
op/[12,13]|prep|hd/obj1|station/[14,15]|noun|1
propname/[4,5]|noun|hd/det|de/[3,4]|det|1
station/[14,15]|noun|hd/det|het/[13,14]|det|1
top/top|top|top/hd|zit/[2,3]|verb|1
zit/[2,3]|verb|-- / --|./[15,16]|punct|1
zit/[2,3]|verb|hd/ld|en/[9,10]|vg|1
zit/[2,3]|verb|hd/mod|alleen/[5,6]|adj|1
zit/[2,3]|verb|hd/mod|in/[0,1]|prep|1
zit/[2,3]|verb|hd/mod|op/[12,13]|prep|1
zit/[2,3]|verb|hd/su|propname/[4,5]|noun|1
ben/[5,6]|verb|hd/mod|dan/[2,3]|adv|1
ben/[5,6]|verb|hd/mod|waar/[0,1]|adv|1
ben/[5,6]|verb|hd/predc|druk/[4,5]|adj|1
ben/[5,6]|verb|hd/su|het/[1,2]|det|1
dat/[6,7]|comp|cmp/body|moet/[14,15]|verb|1
druk/[4,5]|adj|hd/mod|zo/[3,4]|adj|1
in/[11,12]|prep|hd/obj1|rij/[13,14]|noun|1
minuut/[10,11]|noun|hd/det|15/[9,10]|num|1
minuut/[10,11]|noun|hd/mod|minstens/[8,9]|adv|1
moet/[14,15]|verb|hd/su|je/[7,8]|pron|1
moet/[14,15]|verb|hd/vc|sta/[15,16]|verb|1
rij/[13,14]|noun|hd/det|de/[12,13]|det|1
sta/[15,16]|verb|hd/ld|in/[11,12]|prep|1
sta/[15,16]|verb|hd/mod|minuut/[10,11]|noun|1
sta/[15,16]|verb|hd/su|je/[7,8]|pron|1
top/top|top|top/hd|waar/[0,1]|adv|1
waar/[0,1]|adv|-- / --|./[16,17]|punct|1
waar/[0,1]|adv|rhd/body|ben/[5,6]|verb|1
zo/[3,4]|adj|hd/obcomp|dat/[6,7]|comp|1
ben/[2,3]|verb|-- / --|./[7,8]|punct|1
ben/[2,3]|verb|hd/mod|nog/[3,4]|adv|1
ben/[2,3]|verb|hd/mod|wel/[4,5]|adj|1
ben/[2,3]|verb|hd/predc|erg/[0,2]|adj|1
ben/[2,3]|verb|hd/su|prijs/[6,7]|noun|1
prijs/[6,7]|noun|hd/det|de/[5,6]|det|1
top/top|top|top/hd|ben/[2,3]|verb|1
in/[2,3]|prep|hd/obj1|Amerika 1/[3,5]|name|1
top/top|top|top/hd|waar/[0,1]|adv|1
waar/[0,1]|adv|-- / --|./[5,6]|punct|1
waar/[0,1]|adv|-- / --|je/[1,2]|pron|1
waar/[0,1]|adv|dp/dp|in/[2,3]|prep|1
60/[0,1]|num|hd/mod|betaald/[1,2]|adj|1
ben/[6,7]|verb|-- / --|./[15,16]|punct|1
ben/[6,7]|verb|hd/mod|hier/[8,9]|adv|1
ben/[6,7]|verb|hd/mod|snel/[10,11]|adj|1
ben/[6,7]|verb|hd/obj2|60/[0,1]|num|1
ben/[6,7]|verb|hd/predc|euro/[14,15]|noun|1
ben/[6,7]|verb|hd/su|dat/[7,8]|det|1
betaald/[1,2]|adj|hd/mod|voor/[2,3]|prep|1
euro/[14,15]|noun|hd/det|à/[12,13]|vg|1
koffie/[5,6]|noun|hd/det|een/[3,4]|det|1
koffie/[5,6]|noun|hd/mod|gewoon/[4,5]|adj|1
snel/[10,11]|adj|hd/mod|al/[9,10]|adv|1
top/top|top|top/hd|ben/[6,7]|verb|1
voor/[2,3]|prep|hd/obj1|koffie/[5,6]|noun|1
à/[12,13]|vg|crd/cnj|3/[11,12]|num|1
à/[12,13]|vg|crd/cnj|4/[13,14]|num|1
