Standaard Felix Van/[10,13]|name|hd/det|de/[9,10]|det|1
word/[4,5]|verb|hd/vc|sleep_mee/[6,7]|verb|1
begraaf/[14,15]|verb|hd/obj1|en/[10,11]|vg|1
begraaf/[14,15]|verb|hd/su|ik/[6,7]|pron|1
dat/[5,6]|comp|cmp/body|zal/[12,13]|verb|1
en/[10,11]|vg|crd/cnj|geliefd/[11,12]|adj|1
en/[10,11]|vg|crd/cnj|kind/[9,10]|noun|1
kan/[1,2]|verb|-- / --|./[15,16]|punct|1
kan/[1,2]|verb|hd/su|ik/[0,1]|pron|1
kan/[1,2]|verb|hd/vc|stel_voor/[4,5]|verb|1
kind/[9,10]|noun|hd/det|mijn/[7,8]|det|1
kind/[9,10]|noun|hd/mod|eigen/[8,9]|adj|1
moet/[13,14]|verb|hd/su|ik/[6,7]|pron|1
moet/[13,14]|verb|hd/vc|begraaf/[14,15]|verb|1
stel_voor/[4,5]|verb|hd/mod|niet/[3,4]|adv|1
stel_voor/[4,5]|verb|hd/se|me/[2,3]|pron|1
stel_voor/[4,5]|verb|hd/su|ik/[0,1]|pron|1
stel_voor/[4,5]|verb|hd/vc|dat/[5,6]|comp|1
top/top|top|top/hd|kan/[1,2]|verb|1
zal/[12,13]|verb|hd/su|ik/[6,7]|pron|1
zal/[12,13]|verb|hd/vc|moet/[13,14]|verb|1
ben/[2,3]|verb|-- / --|./[5,6]|punct|1
ben/[2,3]|verb|hd/predc|echt/[4,5]|adj|1
ben/[2,3]|verb|hd/su|verhaal/[1,2]|noun|1
echt/[4,5]|adj|hd/mod|zo/[3,4]|adv|1
top/top|top|top/hd|ben/[2,3]|verb|1
verhaal/[1,2]|noun|hd/det|het/[0,1]|det|1
acteer_werk/[3,4]|noun|hd/det|het/[2,3]|det|1
acteer_werk/[3,4]|noun|hd/mod|van/[4,5]|prep|1
camerawerk,…vormen/[10,11]|noun|hd/det|het/[9,10]|det|1
dialoog/[1,2]|noun|-- / --|./[14,15]|punct|1
dialoog/[1,2]|noun|dp/dp|acteer_werk/[3,4]|noun|1
dialoog/[1,2]|noun|dp/dp|camerawerk,…vormen/[10,11]|noun|1
dialoog/[1,2]|noun|dp/dp|geheel/[13,14]|noun|1
dialoog/[1,2]|noun|hd/det|de/[0,1]|det|1
geheel/[13,14]|noun|hd/det|een/[11,12]|det|1
geheel/[13,14]|noun|hd/mod|prachtig/[12,13]|adj|1
top/top|top|top/hd|dialoog/[1,2]|noun|1
van/[4,5]|prep|hd/obj1|zowel/[5,6]|vg|1
zowel/[5,6]|vg|crd/cnj|Baetens/[6,7]|name|1
zowel/[5,6]|vg|crd/cnj|Heldenbergh,/[8,9]|name|1
zowel/[5,6]|vg|crd/crd|als/[7,8]|vg|1
country_nummer/[3,4]|noun|hd/det|de/[0,1]|det|1
country_nummer/[3,4]|noun|hd/mod|toepasselijk/[2,3]|adj|1
einde/[19,20]|noun|hd/det|een/[14,15]|det|1
einde/[19,20]|noun|hd/mod|sterk/[18,19]|adj|1
einde/[19,20]|noun|hd/mod|te/[16,17]|comp|1
en/[8,9]|vg|-- / --|./[20,21]|punct|1
en/[8,9]|vg|crd/cnj|maak_af/[4,5]|verb|1
en/[8,9]|vg|crd/cnj|voer_mee/[9,10]|verb|1
geheel/[6,7]|noun|hd/det|dit/[5,6]|det|1
kijker/[11,12]|noun|hd/det|de/[10,11]|det|1
maak_af/[4,5]|verb|hd/obj1|geheel/[6,7]|noun|1
maak_af/[4,5]|verb|hd/su|country_nummer/[3,4]|noun|1
maak_af/[4,5]|verb|hd/svp|af/[7,8]|part|1
naar/[13,14]|prep|hd/obj1|einde/[19,20]|noun|1
te/[16,17]|comp|cmp/body|voorspel/[17,18]|verb|1
toepasselijk/[2,3]|adj|hd/mod|heel/[1,2]|adv|1
top/top|top|top/hd|en/[8,9]|vg|1
voer_mee/[9,10]|verb|hd/mod|naar/[13,14]|prep|1
voer_mee/[9,10]|verb|hd/obj1|kijker/[11,12]|noun|1
voer_mee/[9,10]|verb|hd/su|country_nummer/[3,4]|noun|1
voer_mee/[9,10]|verb|hd/svp|mee/[12,13]|part|1
voorspel/[17,18]|verb|hd/mod|niet/[15,16]|adv|1
