Klasse, power, PROPNAME/[0,3]|name|-- / --|./[3,4]|punct|1
indrukwekkend/[2,3]|adj|hd/mod|meest/[1,2]|adj|1
met/[6,7]|prep|hd/obj1|zang_prestatie/[8,9]|noun|1
niveau/[13,14]|noun|hd/det|een/[10,11]|det|1
niveau/[13,14]|noun|hd/mod|hoog/[12,13]|adj|1
top/top|top|top/hd|word/[4,5]|verb|1
van/[9,10]|prep|hd/obj1|niveau/[13,14]|noun|1
word/[4,5]|verb|-- / --|./[14,15]|punct|1
word/[4,5]|verb|hd/su|dancemoves/[3,4]|noun|1
word/[4,5]|verb|hd/vc|combineer/[5,6]|verb|1
zang_prestatie/[8,9]|noun|hd/det|een/[7,8]|det|1
zang_prestatie/[8,9]|noun|hd/mod|van/[9,10]|prep|1
ben/[5,6]|verb|-- / --|./[11,12]|punct|1
ben/[5,6]|verb|hd/mod|gekleed/[1,2]|adj|1
ben/[5,6]|verb|hd/predc|en/[9,10]|vg|1
ben/[5,6]|verb|hd/su|klasse_madam/[7,8]|noun|1
en/[9,10]|vg|crd/cnj|mooi/[10,11]|adj|1
en/[9,10]|vg|crd/cnj|sexy/[8,9]|adj|1
gekleed/[1,2]|adj|hd/mod|zelfs/[0,1]|adv|1
gekleed/[1,2]|adj|hd/pc|in/[2,3]|prep|1
in/[2,3]|prep|hd/obj1|juttenzak/[4,5]|noun|1
juttenzak/[4,5]|noun|hd/det|een/[3,4]|det|1
klasse_madam/[7,8]|noun|hd/det|deze/[6,7]|det|1
top/top|top|top/hd|ben/[5,6]|verb|1
ben/[3,4]|verb|-- / --|./[17,18]|punct|1
ben/[3,4]|verb|hd/mod|jaar/[13,14]|noun|1
ben/[3,4]|verb|hd/mod|wat/[0,1]|pron|1
ben/[3,4]|verb|hd/predc|synoniem/[14,15]|noun|1
ben/[3,4]|verb|hd/su|en/[5,6]|vg|1
betref/[2,3]|verb|hd/obj1|mij/[1,2]|pron|1
betref/[2,3]|verb|hd/su|wat/[0,1]|pron|1
en/[5,6]|vg|crd/cnj|PROPNAME/[4,5]|name|1
en/[5,6]|vg|crd/cnj|performer/[7,8]|noun|1
jaar/[13,14]|noun|hd/det|enkel/[12,13]|det|1
jaar/[13,14]|noun|hd/mod|al/[11,12]|adv|1
performer/[7,8]|noun|hd/mod|goed/[6,7]|adj|1
performer/[7,8]|noun|hd/mod|van/[8,9]|prep|1
synoniem/[14,15]|noun|hd/mod|van/[15,16]|prep|1
top/top|top|top/hd|ben/[3,4]|verb|1
van/[8,9]|prep|hd/obj1|wereld/[10,11]|noun|1
van/[15,16]|prep|hd/obj1|elkaar/[16,17]|pron|1
wat/[0,1]|pron|rhd/body|betref/[2,3]|verb|1
wereld/[10,11]|noun|hd/det|de/[9,10]|det|1
