PROPNAME,/[0,1]|name|hd/mod|gelegen/[1,2]|adj|1
bied/[6,7]|verb|-- / --|./[27,28]|punct|1
bied/[6,7]|verb|dp/dp|zal/[14,15]|verb|1
bied/[6,7]|verb|hd/mod|naast/[0,1]|prep|1
bied/[6,7]|verb|hd/obj1|bediening/[11,12]|noun|1
bied/[6,7]|verb|hd/obj2|u/[8,9]|pron|1
bied/[6,7]|verb|hd/su|ze/[7,8]|pron|1
doe/[18,19]|verb|hd/obj1|alles/[16,17]|noun|1
doe/[18,19]|verb|hd/pc|aan/[17,18]|prep|1
doe/[18,19]|verb|hd/su|personeel/[13,14]|noun|1
en/[4,5]|vg|crd/cnj|maaltijd/[3,4]|noun|1
en/[4,5]|vg|crd/cnj|omgeving/[5,6]|noun|1
maak/[26,27]|verb|hd/obj1|het/[20,21]|det|1
maak/[26,27]|verb|hd/obj2|u/[21,22]|pron|1
maak/[26,27]|verb|hd/predc|naar/[22,23]|prep|1
maak/[26,27]|verb|hd/su|personeel/[13,14]|noun|1
maaltijd/[3,4]|noun|hd/det|een/[1,2]|det|1
maaltijd/[3,4]|noun|hd/mod|heerlijk/[2,3]|adj|1
naar/[22,23]|prep|hd/obj1|zin/[24,25]|noun|1
naast/[0,1]|prep|hd/obj1|en/[4,5]|vg|1
om/[19,20]|comp|cmp/body|te/[25,26]|comp|1
omgeving/[5,6]|noun|hd/det|een/[1,2]|det|1
omgeving/[5,6]|noun|hd/mod|heerlijk/[2,3]|adj|1
personeel/[13,14]|noun|hd/det|het/[12,13]|det|1
te/[25,26]|comp|cmp/body|maak/[26,27]|verb|1
top/top|top|top/hd|bied/[6,7]|verb|1
zal/[14,15]|verb|hd/su|personeel/[13,14]|noun|1
zal/[14,15]|verb|hd/vc|doe/[18,19]|verb|1
zin/[24,25]|noun|hd/det|u/[23,24]|det|1
aanrader/[5,6]|noun|hd/det|een/[3,4]|det|1
aanrader/[5,6]|noun|hd/mod|echt/[4,5]|adj|1
ben/[2,3]|verb|-- / --|!/[13,14]|punct|1
ben/[2,3]|verb|hd/mod|tijdens/[7,8]|prep|1
ben/[2,3]|verb|hd/mod|zeker/[6,7]|adj|1
ben/[2,3]|verb|hd/predc|aanrader/[5,6]|noun|1
ben/[2,3]|verb|hd/su|restaurant/[1,2]|noun|1
dag/[10,11]|noun|hd/det|deze/[8,9]|det|1
dag/[10,11]|noun|hd/det|veertig/[9,10]|num|1
dag/[10,11]|noun|hd/mod|zonder/[11,12]|prep|1
restaurant/[1,2]|noun|hd/det|dit/[0,1]|det|1
tijdens/[7,8]|prep|hd/obj1|dag/[10,11]|noun|1
top/top|top|top/hd|ben/[2,3]|verb|1
zonder/[11,12]|prep|hd/obj1|vlees/[12,13]|noun|1
