PROPNAME/[0,1]|name|-- / --|./[1,2]|punct|1
even/[8,9]|adj|hd/mod|nog/[7,8]|adv|1
maar/[10,11]|vg|-- / --|./[22,23]|punct|1
maar/[10,11]|vg|crd/cnj|ben/[5,6]|verb|1
maar/[10,11]|vg|crd/cnj|ben/[17,18]|verb|1
mening/[19,20]|noun|hd/det|mijn/[18,19]|det|1
minuut/[14,15]|noun|hd/det|vijf/[13,14]|num|1
sceptisch/[9,10]|adj|hd/mod|even/[8,9]|adj|1
top/top|top|top/hd|maar/[10,11]|vg|1
van/[2,3]|prep|hd/obj1|verhaal/[4,5]|noun|1
verhaal/[4,5]|noun|hd/det|het/[3,4]|det|1
zodra/[11,12]|comp|cmp/body|ben/[16,17]|verb|1
3D_film/[10,11]|noun|hd/det|geen/[9,10]|det|1
acteur/[15,16]|noun|hd/mod|echt/[14,15]|adj|1
begin/[2,3]|noun|hd/det|het/[1,2]|det|1
ben/[11,12]|verb|hd/predc|3D_film/[10,11]|noun|1
ben/[11,12]|verb|hd/su|het/[8,9]|det|1
ben/[18,19]|verb|hd/predc|goed/[17,18]|adj|1
ben/[18,19]|verb|hd/su|graphics/[20,21]|noun|1
dat/[7,8]|comp|cmp/body|ben/[11,12]|verb|1
denk/[3,4]|verb|hd/mod|even/[6,7]|adj|1
denk/[3,4]|verb|hd/mod|in/[0,1]|prep|1
denk/[3,4]|verb|hd/mod|zelfs/[5,6]|adv|1
denk/[3,4]|verb|hd/su|ik/[4,5]|pron|1
denk/[3,4]|verb|hd/vc|dat/[7,8]|comp|1
goed/[17,18]|adj|hd/mod|met/[13,14]|prep|1
goed/[17,18]|adj|hd/mod|zo/[16,17]|adv|1
graphics/[20,21]|noun|hd/det|de/[19,20]|det|1
in/[0,1]|prep|hd/obj1|begin/[2,3]|noun|1
maar/[12,13]|vg|-- / --|./[21,22]|punct|1
maar/[12,13]|vg|crd/cnj|ben/[18,19]|verb|1
maar/[12,13]|vg|crd/cnj|denk/[3,4]|verb|1
met/[13,14]|prep|hd/obj1|acteur/[15,16]|noun|1
top/top|top|top/hd|maar/[12,13]|vg|1
bekend/[4,5]|adj|hd/mod|al/[3,4]|adv|1
ben/[2,3]|verb|hd/mod|bekend/[4,5]|adj|1
ben/[2,3]|verb|hd/mod|daar/[6,7]|adv|1
ben/[2,3]|verb|hd/mod|dus/[5,6]|adv|1
ben/[2,3]|verb|hd/predc|niets/[7,8]|noun|1
ben/[2,3]|verb|hd/su|verhaal/[1,2]|noun|1
ben/[16,17]|verb|hd/mod|niet/[12,13]|adv|1
ben/[16,17]|verb|hd/predc|slecht/[14,15]|adj|1
ben/[16,17]|verb|hd/su|dit/[10,11]|det|1
hoef/[11,12]|verb|hd/su|dit/[10,11]|det|1
hoef/[11,12]|verb|hd/vc|te/[15,16]|comp|1
maar/[9,10]|vg|-- / --|!/[17,18]|punct|1
maar/[9,10]|vg|crd/cnj|ben/[2,3]|verb|1
maar/[9,10]|vg|crd/cnj|hoef/[11,12]|verb|1
niets/[7,8]|noun|hd/mod|nieuw/[8,9]|adj|1
slecht/[14,15]|adj|hd/mod|noodzakelijk/[13,14]|adj|1
te/[15,16]|comp|cmp/body|ben/[16,17]|verb|1
top/top|top|top/hd|maar/[9,10]|vg|1
verhaal/[1,2]|noun|hd/det|het/[0,1]|det|1
