PROPNAME/[0,1]|name|-- / --|? /[1,2]|punct|1
breng/[10,11]|verb|hd/obj1|me/[3,4]|pron|1
breng/[10,11]|verb|hd/su|pizza/[2,3]|noun|1
hoogtepunt/[9,10]|noun|hd/det|een/[7,8]|det|1
hoogtepunt/[9,10]|noun|hd/mod|culinair/[8,9]|adj|1
hoor/[11,12]|verb|hd/obj1|je/[12,13]|pron|1
hoor/[11,12]|verb|hd/vc|klaag/[15,16]|verb|1
klaag/[15,16]|verb|hd/mod|niet/[14,15]|adv|1
klaag/[15,16]|verb|hd/obj1|me/[13,14]|pron|1
klaag/[15,16]|verb|hd/su|je/[12,13]|pron|1
mag/[0,1]|verb|-- / --|./[16,17]|punct|1
mag/[0,1]|verb|hd/su|pizza/[2,3]|noun|1
mag/[0,1]|verb|hd/vc|breng/[10,11]|verb|1
mag/[0,1]|verb|sat/nucl|hoor/[11,12]|verb|1
pizza/[2,3]|noun|hd/det|deze/[1,2]|det|1
top/top|top|top/hd|mag/[0,1]|verb|1
tot/[6,7]|prep|hd/obj1|hoogtepunt/[9,10]|noun|1
ben/[14,15]|verb|hd/su|die/[7,8]|pron|1
ben/[14,15]|verb|hd/vc|te/[12,13]|comp|1
die/[7,8]|pron|rhd/body|ben/[14,15]|verb|1
eet/[13,14]|verb|hd/mod|dan/[8,9]|adv|1
eet/[13,14]|verb|hd/mod|eens/[10,11]|adv|1
eet/[13,14]|verb|hd/mod|niet/[11,12]|adv|1
eet/[13,14]|verb|hd/mod|nog/[9,10]|adv|1
eet/[13,14]|verb|hd/obj1|die/[7,8]|pron|1
op/[4,5]|prep|hd/obj1|pizza/[6,7]|noun|1
pizza/[6,7]|noun|hd/det|een/[5,6]|det|1
pizza/[6,7]|noun|hd/mod|die/[7,8]|pron|1
te/[12,13]|comp|cmp/body|eet/[13,14]|verb|1
top/top|top|top/hd|wacht/[3,4]|verb|1
uur/[2,3]|noun|hd/det|twee/[1,2]|num|1
uur/[2,3]|noun|hd/mod|maar/[0,1]|adv|1
wacht/[3,4]|verb|-- / --|? /[15,16]|punct|1
wacht/[3,4]|verb|hd/pc|op/[4,5]|prep|1
wacht/[3,4]|verb|hd/su|uur/[2,3]|noun|1
bedank/[1,2]|verb|-- / --|!/[2,3]|punct|1
bedank/[1,2]|verb|hd/su|neen/[0,1]|noun|1
top/top|top|top/hd|bedank/[1,2]|verb|1
ananas/[1,2]|noun|hd/det|de/[0,1]|det|1
ben/[2,3]|verb|-- / --|./[21,22]|punct|1
ben/[2,3]|verb|dp/dp|en/[11,12]|vg|1
ben/[2,3]|verb|hd/mod|duidelijk/[3,4]|adj|1
ben/[2,3]|verb|hd/mod|niet/[4,5]|adv|1
ben/[2,3]|verb|hd/predc|vers/[5,6]|adj|1
ben/[2,3]|verb|hd/su|ananas/[1,2]|noun|1
ben/[8,9]|verb|hd/su|hesp/[7,8]|noun|1
ben/[8,9]|verb|hd/vc|verhard/[10,11]|verb|1
ben/[17,18]|verb|hd/predc|zuur/[20,21]|adj|1
ben/[17,18]|verb|hd/su|tomaat_saus/[13,14]|noun|1
die/[14,15]|pron|rhd/body|lig/[16,17]|verb|1
en/[11,12]|vg|crd/cnj|ben/[8,9]|verb|1
en/[11,12]|vg|crd/cnj|ben/[17,18]|verb|1
hesp/[7,8]|noun|hd/det|de/[6,7]|det|1
lig/[16,17]|verb|hd/ld|erop/[15,16]|pp|1
lig/[16,17]|verb|hd/su|die/[14,15]|pron|1
te/[19,20]|adv|hd/me|veel/[18,19]|adj|1
tomaat_saus/[13,14]|noun|hd/det|de/[12,13]|det|1
tomaat_saus/[13,14]|noun|hd/mod|die/[14,15]|pron|1
top/top|top|top/hd|ben/[2,3]|verb|1
verhard/[10,11]|verb|hd/mod|volledig/[9,10]|adj|1
verhard/[10,11]|verb|hd/su|hesp/[7,8]|noun|1
zuur/[20,21]|adj|hd/mod|te/[19,20]|adv|1
dit/[0,1]|det|-- / --|./[8,9]|punct|1
dit/[0,1]|det|dp/dp|ondanks/[1,2]|prep|1
en/[5,6]|vg|crd/cnj|setting/[4,5]|noun|1
en/[5,6]|vg|crd/cnj|wijn/[7,8]|noun|1
ondanks/[1,2]|prep|hd/obj1|en/[5,6]|vg|1
setting/[4,5]|noun|hd/det|de/[2,3]|det|1
setting/[4,5]|noun|hd/mod|gezellig/[3,4]|adj|1
top/top|top|top/hd|dit/[0,1]|det|1
wijn/[7,8]|noun|hd/det|de/[2,3]|det|1
wijn/[7,8]|noun|hd/mod|goed/[6,7]|adj|1
jammer/[0,1]|noun|-- / --|!/[1,2]|punct|1
top/top|top|top/hd|jammer/[0,1]|noun|1
!/[1,2]|punct|-- / --|jammer/[0,1]|noun|1
top/top|top|top/hd|!/[1,2]|punct|1
