PROPNAME,/[4,5]|name|hd/det|de/[3,4]|det|1
omdat/[4,5]|comp|cmp/body|en/[10,11]|vg|1
opslag_ruimte/[8,9]|noun|hd/det|veel/[7,8]|adj|1
propname/[3,4]|noun|hd/det|de/[2,3]|det|1
top/top|top|top/hd|koop/[1,2]|verb|1
voor/[18,19]|prep|hd/mod|onder andere/[16,18]|adv|1
voor/[18,19]|prep|hd/obj1|foto/[19,20]|noun|1
ben/[2,3]|verb|hd/predc|in gebruik/[5,7]|adj|1
ben/[2,3]|verb|hd/su|gsm/[1,2]|noun|1
door/[8,9]|prep|hd/obj1|opslag_ruimte/[11,12]|noun|1
en/[7,8]|vg|-- / --|./[19,20]|punct|1
en/[7,8]|vg|crd/cnj|ben/[2,3]|verb|1
en/[7,8]|vg|crd/cnj|werk/[12,13]|verb|1
gsm/[1,2]|noun|hd/det|de/[0,1]|det|1
handig/[4,5]|adj|hd/mod|heel/[3,4]|adv|1
in gebruik/[5,7]|adj|hd/mod|handig/[4,5]|adj|1
opslag_ruimte/[11,12]|noun|hd/det|de/[9,10]|det|1
opslag_ruimte/[11,12]|noun|hd/mod|groot/[10,11]|adj|1
snel/[18,19]|adj|hd/mod|heel/[17,18]|adv|1
top/top|top|top/hd|en/[7,8]|vg|1
werk/[12,13]|verb|hd/mod|door/[8,9]|prep|1
werk/[12,13]|verb|hd/mod|eens/[16,17]|adv|1
werk/[12,13]|verb|hd/mod|nog/[15,16]|adv|1
werk/[12,13]|verb|hd/mod|ook/[14,15]|adv|1
werk/[12,13]|verb|hd/predc|snel/[18,19]|adj|1
werk/[12,13]|verb|hd/su|hij/[13,14]|pron|1
ben/[3,4]|verb|hd/predc|prijs/[7,8]|noun|1
ben/[3,4]|verb|hd/su|nadeel/[2,3]|noun|1
deel/[14,15]|noun|hd/det|een/[12,13]|det|1
deel/[14,15]|noun|hd/mod|groot/[13,14]|adj|1
door/[17,18]|prep|hd/obj1|opslag_ruimte/[20,21]|noun|1
hoog/[6,7]|adj|hd/mod|relatief/[5,6]|adj|1
maak_goed/[16,17]|verb|hd/mod|door/[17,18]|prep|1
maak_goed/[16,17]|verb|hd/mod|voor/[11,12]|prep|1
maak_goed/[16,17]|verb|hd/mod|weer/[15,16]|adv|1
maak_goed/[16,17]|verb|hd/obj1|dit/[9,10]|det|1
maar/[8,9]|vg|-- / --|./[21,22]|punct|1
maar/[8,9]|vg|crd/cnj|ben/[3,4]|verb|1
maar/[8,9]|vg|crd/cnj|word/[10,11]|verb|1
nadeel/[2,3]|noun|hd/det|het/[0,1]|det|1
nadeel/[2,3]|noun|hd/mod|enig/[1,2]|adj|1
opslag_ruimte/[20,21]|noun|hd/det|de/[18,19]|det|1
opslag_ruimte/[20,21]|noun|hd/mod|extra/[19,20]|adj|1
prijs/[7,8]|noun|hd/det|de/[4,5]|det|1
prijs/[7,8]|noun|hd/mod|hoog/[6,7]|adj|1
top/top|top|top/hd|maar/[8,9]|vg|1
voor/[11,12]|prep|hd/obj1|deel/[14,15]|noun|1
word/[10,11]|verb|hd/su|dit/[9,10]|det|1
word/[10,11]|verb|hd/vc|maak_goed/[16,17]|verb|1
aanrader/[1,2]|noun|-- / --|!/[14,15]|punct|1
aanrader/[1,2]|noun|hd/det|een/[0,1]|det|1
aanrader/[1,2]|noun|hd/mod|voor/[2,3]|prep|1
die/[4,5]|pron|rhd/body|zet/[13,14]|verb|1
en/[8,9]|vg|crd/cnj|foto/[7,8]|noun|1
en/[8,9]|vg|crd/cnj|muziek/[9,10]|noun|1
foto/[7,8]|noun|hd/det|veel/[6,7]|adj|1
gsm/[12,13]|noun|hd/det|zijn/[11,12]|det|1
iedereen/[3,4]|pron|hd/mod|die/[4,5]|pron|1
muziek/[9,10]|noun|hd/det|veel/[6,7]|adj|1
op/[10,11]|prep|hd/obj1|gsm/[12,13]|noun|1
top/top|top|top/hd|aanrader/[1,2]|noun|1
voor/[2,3]|prep|hd/obj1|iedereen/[3,4]|pron|1
zet/[13,14]|verb|hd/ld|op/[10,11]|prep|1
zet/[13,14]|verb|hd/mod|graag/[5,6]|adj|1
zet/[13,14]|verb|hd/obj1|en/[8,9]|vg|1
zet/[13,14]|verb|hd/su|die/[4,5]|pron|1
