PROPNAME/[16,17]|name|hd/mod|in/[17,18]|prep|1
plaats/[1,2]|verb|hd/obj1|bestelling/[5,6]|noun|1
plaats/[1,2]|verb|hd/su|ik/[0,1]|pron|1
top/top|top|top/hd|en/[6,7]|vg|1
ben/[11,12]|verb|hd/su|geur/[9,10]|noun|1
ben/[11,12]|verb|hd/vc|te/[15,16]|comp|1
betaal/[1,2]|verb|hd/su|ik/[0,1]|pron|1
en/[2,3]|vg|crd/cnj|betaal/[1,2]|verb|1
en/[2,3]|vg|crd/cnj|loop/[3,4]|verb|1
geur/[9,10]|noun|hd/det|de/[8,9]|det|1
geur/[9,10]|noun|hd/mod|binnen/[10,11]|adv|1
hard/[16,17]|verb|hd/mod|niet/[14,15]|adv|1
hard/[16,17]|verb|hd/mod|ook/[13,14]|adv|1
hard/[16,17]|verb|hd/mod|trouwens/[12,13]|adv|1
hard/[16,17]|verb|hd/obj1|geur/[9,10]|noun|1
loop/[3,4]|verb|hd/ld|naar/[5,6]|prep|1
loop/[3,4]|verb|hd/mod|snel/[4,5]|adj|1
loop/[3,4]|verb|hd/su|ik/[0,1]|pron|1
naar/[5,6]|prep|hd/obj1|buiten/[6,7]|adv|1
te/[15,16]|comp|cmp/body|hard/[16,17]|verb|1
top/top|top|top/hd|want/[7,8]|vg|1
want/[7,8]|vg|-- / --|./[17,18]|punct|1
want/[7,8]|vg|crd/cnj|ben/[11,12]|verb|1
want/[7,8]|vg|crd/cnj|en/[2,3]|vg|1
hamburger/[6,7]|noun|hd/det|mijn/[5,6]|det|1
open/[1,2]|verb|-- / --|./[7,8]|punct|1
open/[1,2]|verb|hd/obj1|papier_DIM/[3,4]|noun|1
open/[1,2]|verb|hd/su|ik/[0,1]|pron|1
papier_DIM/[3,4]|noun|hd/det|het/[2,3]|det|1
papier_DIM/[3,4]|noun|hd/mod|van/[4,5]|prep|1
top/top|top|top/hd|open/[1,2]|verb|1
van/[4,5]|prep|hd/obj1|hamburger/[6,7]|noun|1
dat/[5,6]|pron|rhd/body|moet/[10,11]|verb|1
hamburger/[9,10]|noun|hd/det|de/[8,9]|det|1
hang/[1,2]|verb|-- / --|./[12,13]|punct|1
hang/[1,2]|verb|hd/mod|vol/[2,3]|adj|1
hang/[1,2]|verb|hd/su|het/[0,1]|det|1
met/[3,4]|prep|hd/obj1|smurrie/[4,5]|noun|1
moet/[10,11]|verb|hd/su|dat/[5,6]|pron|1
moet/[10,11]|verb|hd/vc|zit/[11,12]|verb|1
smurrie/[4,5]|noun|hd/mod|dat/[5,6]|pron|1
top/top|top|top/hd|hang/[1,2]|verb|1
tussen/[7,8]|prep|hd/obj1|hamburger/[9,10]|noun|1
vol/[2,3]|adj|hd/pc|met/[3,4]|prep|1
zit/[11,12]|verb|hd/ld|tussen/[7,8]|prep|1
zit/[11,12]|verb|hd/mod|normaal_gezien/[6,7]|adj|1
zit/[11,12]|verb|hd/su|dat/[5,6]|pron|1
blijf_over/[1,2]|verb|-- / --|./[6,7]|punct|1
blijf_over/[1,2]|verb|hd/mod|dus/[2,3]|adv|1
blijf_over/[1,2]|verb|hd/pc|van/[4,5]|prep|1
blijf_over/[1,2]|verb|hd/su|weinig/[3,4]|adj|1
blijf_over/[1,2]|verb|hd/svp|over/[5,6]|part|1
top/top|top|top/hd|blijf_over/[1,2]|verb|1
van/[4,5]|prep|hd/obj1|er/[0,1]|adv|1
blijf/[5,6]|verb|hd/su|ik/[0,1]|pron|1
blijf/[5,6]|verb|hd/vc|zit/[10,11]|verb|1
eet_op/[1,2]|verb|hd/obj1|hem/[2,3]|pron|1
eet_op/[1,2]|verb|hd/su|ik/[0,1]|pron|1
eet_op/[1,2]|verb|hd/svp|op/[3,4]|part|1
en/[4,5]|vg|-- / --|./[11,12]|punct|1
en/[4,5]|vg|crd/cnj|blijf/[5,6]|verb|1
en/[4,5]|vg|crd/cnj|eet_op/[1,2]|verb|1
honger/[9,10]|noun|hd/det|mijn/[8,9]|det|1
op/[7,8]|prep|hd/obj1|honger/[9,10]|noun|1
top/top|top|top/hd|en/[4,5]|vg|1
zit/[10,11]|verb|hd/ld|op/[7,8]|prep|1
zit/[10,11]|verb|hd/mod|eigenlijk/[6,7]|adj|1
zit/[10,11]|verb|hd/su|ik/[0,1]|pron|1
