PROPNAME,/[5,6]|name|hd/det|de/[4,5]|det|1
ontwikkel/[11,12]|verb|hd/mod|ook/[0,1]|adv|1
ontwikkel/[11,12]|verb|hd/mod|voor/[3,4]|prep|1
ontwikkel/[11,12]|verb|hd/obj1|besturing_systeem/[8,9]|noun|1
ontwikkel/[11,12]|verb|hd/su|Apple/[2,3]|name|1
op/[18,19]|prep|hd/obj1|gsm/[20,21]|noun|1
propname/[5,6]|noun|hd/det|de/[4,5]|det|1
speel/[16,17]|verb|hd/mod|niet/[17,18]|adv|1
speel/[16,17]|verb|hd/pc|op/[18,19]|prep|1
speel/[16,17]|verb|hd/su|gamer/[15,16]|noun|1
systeem/[26,27]|noun|hd/det|dit/[25,26]|det|1
top/top|top|top/hd|maar/[12,13]|vg|1
voor/[3,4]|prep|hd/obj1|propname/[5,6]|noun|1
voor/[9,10]|prep|hd/obj1|game/[10,11]|noun|1
aan/[3,4]|prep|hd/obj1|smartphone/[5,6]|noun|1
aan/[17,18]|prep|hd/obj1|versie/[20,21]|noun|1
ben/[16,17]|verb|hd/mod|bijna/[14,15]|adv|1
ben/[16,17]|verb|hd/predc|identiek/[15,16]|adj|1
ben/[16,17]|verb|hd/su|dat/[13,14]|pron|1
dat/[13,14]|pron|rhd/body|ben/[16,17]|verb|1
hang/[1,2]|verb|-- / --|./[21,22]|punct|1
hang/[1,2]|verb|hd/ld|aan/[3,4]|prep|1
hang/[1,2]|verb|hd/mod|er/[2,3]|adv|1
hang/[1,2]|verb|hd/mod|ver/[0,1]|adj|1
hang/[1,2]|verb|hd/su|prijskaartje/[9,10]|noun|1
identiek/[15,16]|adj|hd/pc|aan/[17,18]|prep|1
prijskaartje/[9,10]|noun|hd/det|een/[6,7]|det|1
prijskaartje/[9,10]|noun|hd/mod|scherp/[8,9]|adj|1
prijskaartje/[9,10]|noun|hd/mod|voor/[10,11]|prep|1
scherp/[8,9]|adj|hd/mod|enorm/[7,8]|adj|1
smartphone/[5,6]|noun|hd/det|deze/[4,5]|det|1
toestel/[12,13]|noun|hd/det|een/[11,12]|det|1
toestel/[12,13]|noun|hd/mod|dat/[13,14]|pron|1
top/top|top|top/hd|hang/[1,2]|verb|1
versie/[20,21]|noun|hd/det|zijn/[18,19]|det|1
versie/[20,21]|noun|hd/mod|vorig/[19,20]|adj|1
voor/[10,11]|prep|hd/obj1|toestel/[12,13]|noun|1
ben/[2,3]|verb|-- / --|./[10,11]|punct|1
ben/[2,3]|verb|hd/mod|niet/[4,5]|adv|1
ben/[2,3]|verb|hd/predc|wat/[5,6]|pron|1
ben/[2,3]|verb|hd/su|prijs-kwaliteitverhouding/[1,2]|noun|1
ben/[9,10]|verb|hd/predc|wat/[5,6]|pron|1
ben/[9,10]|verb|hd/su|ze/[6,7]|pron|1
moet/[8,9]|verb|hd/su|ze/[6,7]|pron|1
moet/[8,9]|verb|hd/vc|ben/[9,10]|verb|1
niet/[4,5]|adv|hd/mod|absoluut/[3,4]|adj|1
prijs-kwaliteitverhouding/[1,2]|noun|hd/det|de/[0,1]|det|1
top/top|top|top/hd|ben/[2,3]|verb|1
wat/[5,6]|pron|rhd/body|zal/[7,8]|verb|1
zal/[7,8]|verb|hd/su|ze/[6,7]|pron|1
zal/[7,8]|verb|hd/vc|moet/[8,9]|verb|1
