Hot in PROPNAME/[2,5]|name|hd/det|de/[1,2]|det|1
wanneer/[14,15]|comp|cmp/body|sta/[20,21]|verb|1
ga/[19,20]|verb|hd/ld|naar/[10,11]|prep|1
ga/[19,20]|verb|hd/mod|goed/[9,10]|adj|1
ga/[19,20]|verb|hd/mod|voor/[0,1]|prep|1
ga/[19,20]|verb|hd/su|ik/[4,5]|pron|1
goed/[9,10]|adj|hd/mod|volgens/[5,6]|prep|1
goed/[9,10]|adj|hd/mod|zo/[8,9]|adv|1
heb/[3,4]|verb|-- / --|./[20,21]|punct|1
heb/[3,4]|verb|hd/su|ik/[4,5]|pron|1
heb/[3,4]|verb|hd/vc|kan/[18,19]|verb|1
hoek/[17,18]|noun|hd/det|de/[16,17]|det|1
kan/[18,19]|verb|hd/su|ik/[4,5]|pron|1
kan/[18,19]|verb|hd/vc|ga/[19,20]|verb|1
kfc/[12,13]|noun|hd/det|de/[11,12]|det|1
kfc/[12,13]|noun|hd/mod|om/[15,16]|prep|1
naar/[10,11]|prep|hd/obj1|of/[13,14]|vg|1
of/[13,14]|vg|crd/cnj|kfc/[12,13]|noun|1
of/[13,14]|vg|crd/cnj|propname/[14,15]|noun|1
om/[15,16]|prep|hd/obj1|hoek/[17,18]|noun|1
propname/[14,15]|noun|hd/det|de/[11,12]|det|1
propname/[14,15]|noun|hd/mod|om/[15,16]|prep|1
smaak_ervaring/[2,3]|noun|hd/det|eenzelfde/[1,2]|det|1
top/top|top|top/hd|heb/[3,4]|verb|1
volgens/[5,6]|prep|hd/obj1|mij/[6,7]|pron|1
voor/[0,1]|prep|hd/obj1|smaak_ervaring/[2,3]|noun|1
zo/[8,9]|adv|hd/mod|net/[7,8]|adv|1
dat/[9,10]|pron|rhd/body|word/[14,15]|verb|1
door/[11,12]|prep|hd/obj1|keet_fenomeen/[13,14]|noun|1
keer/[2,3]|noun|hd/det|de/[0,1]|det|1
keer/[2,3]|noun|hd/mod|volg/[1,2]|adj|1
keet_fenomeen/[13,14]|noun|hd/det|het/[12,13]|det|1
restaurant/[7,8]|noun|hd/det|een/[5,6]|det|1
restaurant/[7,8]|noun|hd/mod|dat/[9,10]|pron|1
restaurant/[7,8]|noun|hd/mod|klein/[6,7]|adj|1
stomp_af/[15,16]|verb|hd/mod|door/[11,12]|prep|1
stomp_af/[15,16]|verb|hd/mod|niet/[10,11]|adv|1
stomp_af/[15,16]|verb|hd/obj1|dat/[9,10]|pron|1
top/top|top|top/hd|zoek_op/[3,4]|verb|1
word/[14,15]|verb|hd/su|dat/[9,10]|pron|1
word/[14,15]|verb|hd/vc|stomp_af/[15,16]|verb|1
zoek_op/[3,4]|verb|-- / --|./[16,17]|punct|1
zoek_op/[3,4]|verb|hd/mod|keer/[2,3]|noun|1
zoek_op/[3,4]|verb|hd/obj1|restaurant/[7,8]|noun|1
zoek_op/[3,4]|verb|hd/su|ik/[4,5]|pron|1
zoek_op/[3,4]|verb|hd/svp|op/[8,9]|part|1
belediging/[3,4]|noun|hd/det|een/[2,3]|det|1
belediging/[3,4]|noun|hd/mod|van/[4,5]|prep|1
ben/[1,2]|verb|-- / --|./[13,14]|punct|1
ben/[1,2]|verb|dp/dp|ben/[9,10]|verb|1
ben/[1,2]|verb|hd/predc|belediging/[3,4]|noun|1
ben/[1,2]|verb|hd/su|PROPNAME/[0,1]|name|1
ben/[9,10]|verb|hd/predc|mening/[12,13]|noun|1
ben/[9,10]|verb|hd/su|dat/[8,9]|det|1
keuken/[7,8]|noun|hd/det|de/[5,6]|det|1
keuken/[7,8]|noun|hd/mod|Spaans/[6,7]|adj|1
mening/[12,13]|noun|hd/det|mijn/[10,11]|det|1
mening/[12,13]|noun|hd/mod|on_gezouten/[11,12]|adj|1
top/top|top|top/hd|ben/[1,2]|verb|1
van/[4,5]|prep|hd/obj1|keuken/[7,8]|noun|1
