PROPNAME/[1,2]|name|hd/det|de/[0,1]|det|1
verwacht/[3,4]|verb|hd/mod|in/[0,1]|prep|1
verwacht/[3,4]|verb|hd/obj1|of/[7,8]|vg|1
verwacht/[3,4]|verb|hd/su|je/[4,5]|pron|1
ben/[26,27]|verb|hd/mod|zelfs/[23,24]|adv|1
ben/[26,27]|verb|hd/predc|vis/[25,26]|noun|1
ben/[26,27]|verb|hd/su|zee_tong/[18,19]|noun|1
bestel/[21,22]|verb|hd/obj1|die/[19,20]|pron|1
bestel/[21,22]|verb|hd/su|ik/[20,21]|pron|1
bord/[7,8]|noun|hd/det|het/[6,7]|det|1
chef/[1,2]|noun|hd/det|deze/[0,1]|det|1
die/[19,20]|pron|rhd/body|heb/[22,23]|verb|1
dresseer/[9,10]|verb|hd/obj1|bord/[7,8]|noun|1
dresseer/[9,10]|verb|hd/su|chef/[1,2]|noun|1
en/[10,11]|vg|-- / --|./[27,28]|punct|1
en/[10,11]|vg|crd/cnj|heb/[2,3]|verb|1
en/[10,11]|vg|crd/cnj|heb/[12,13]|verb|1
heb/[2,3]|verb|hd/su|chef/[1,2]|noun|1
heb/[2,3]|verb|hd/vc|probeer/[5,6]|verb|1
heb/[12,13]|verb|hd/mod|sterk/[13,14]|adj|1
heb/[12,13]|verb|hd/obj1|twijfel/[15,16]|noun|1
heb/[12,13]|verb|hd/su|ik/[11,12]|pron|1
heb/[22,23]|verb|hd/su|ik/[20,21]|pron|1
heb/[22,23]|verb|hd/vc|bestel/[21,22]|verb|1
of/[16,17]|comp|cmp/body|ben/[26,27]|verb|1
probeer/[5,6]|verb|hd/mod|niet/[4,5]|adv|1
probeer/[5,6]|verb|hd/mod|zelfs/[3,4]|adv|1
probeer/[5,6]|verb|hd/su|chef/[1,2]|noun|1
probeer/[5,6]|verb|hd/vc|te/[8,9]|comp|1
te/[8,9]|comp|cmp/body|dresseer/[9,10]|verb|1
top/top|top|top/hd|en/[10,11]|vg|1
twijfel/[15,16]|noun|hd/det|mijn/[14,15]|det|1
twijfel/[15,16]|noun|hd/vc|of/[16,17]|comp|1
vis/[25,26]|noun|hd/det|een/[24,25]|det|1
zee_tong/[18,19]|noun|hd/det|de/[17,18]|det|1
zee_tong/[18,19]|noun|hd/mod|die/[19,20]|pron|1
ben/[9,10]|verb|hd/mod|evengoed/[2,3]|adv|1
ben/[9,10]|verb|hd/predc|één/[3,4]|pron|1
ben/[9,10]|verb|hd/su|het/[0,1]|det|1
heb/[1,2]|verb|-- / --|... /[10,11]|punct|1
heb/[1,2]|verb|hd/su|het/[0,1]|det|1
heb/[1,2]|verb|hd/vc|kan/[8,9]|verb|1
in/[4,5]|prep|hd/obj1|stuk/[6,7]|noun|1
kan/[8,9]|verb|hd/su|het/[0,1]|det|1
kan/[8,9]|verb|hd/vc|ben/[9,10]|verb|1
stuk/[6,7]|noun|hd/mod|tapijt/[7,8]|noun|1
stuk/[6,7]|noun|hd/mod|zeewater_gedrenkt/[5,6]|adj|1
top/top|top|top/hd|heb/[1,2]|verb|1
één/[3,4]|pron|hd/mod|in/[4,5]|prep|1
top/top|top|top/hd|wie/[0,1]|pron|1
wie/[0,1]|pron|-- / --|? /[4,5]|punct|1
wie/[0,1]|pron|whd/body|zal/[1,2]|verb|1
zal/[1,2]|verb|hd/su|wie/[0,1]|pron|1
zal/[1,2]|verb|hd/vc|zeg/[3,4]|verb|1
zeg/[3,4]|verb|hd/obj1|het/[2,3]|det|1
zeg/[3,4]|verb|hd/su|wie/[0,1]|pron|1
nooit/[0,1]|adv|-- / --|./[6,7]|punct|1
nooit/[0,1]|adv|dp/dp|PROPNAME,/[2,3]|name|1
nooit/[0,1]|adv|dp/dp|sta_vast/[4,5]|verb|1
nooit/[0,1]|adv|hd/mod|meer/[1,2]|adv|1
sta_vast/[4,5]|verb|hd/su|zoveel/[3,4]|adj|1
sta_vast/[4,5]|verb|hd/svp|vast/[5,6]|part|1
top/top|top|top/hd|nooit/[0,1]|adv|1
