PROPNAME/[1,2]|name|hd/det|de/[0,1]|det|1
kom/[1,2]|verb|hd/su|deze/[0,1]|det|1
kom/[1,2]|verb|hd/svp|van pas/[10,12]|fixed|1
leven/[5,6]|noun|hd/det|het/[3,4]|det|1
leven/[5,6]|noun|hd/mod|dagelijks/[4,5]|adj|1
per/[8,9]|prep|hd/obj1|dag/[9,10]|noun|1
top/top|top|top/hd|kom/[1,2]|verb|1
applicatie/[3,4]|noun|hd/det|de/[0,1]|det|1
applicatie/[3,4]|noun|hd/mod|nuttig/[2,3]|adj|1
ben/[4,5]|verb|-- / --|./[8,9]|punct|1
ben/[4,5]|verb|hd/predc|email_app/[6,8]|noun|1
ben/[4,5]|verb|hd/su|applicatie/[3,4]|noun|1
email_app/[6,8]|noun|hd/det|de/[5,6]|det|1
nuttig/[2,3]|adj|hd/mod|meest/[1,2]|adj|1
top/top|top|top/hd|ben/[4,5]|verb|1
ben/[1,2]|verb|-- / --|./[12,13]|punct|1
ben/[1,2]|verb|hd/mod|om/[8,9]|comp|1
ben/[1,2]|verb|hd/predc|en/[5,6]|vg|1
ben/[1,2]|verb|hd/su|deze/[0,1]|det|1
en/[5,6]|vg|crd/cnj|moeilijk/[7,8]|adj|1
en/[5,6]|vg|crd/cnj|uitgewerkt/[4,5]|adj|1
moeilijk/[7,8]|adj|hd/mod|niet/[6,7]|adv|1
moeilijk/[7,8]|adj|hd/mod|zeer/[2,3]|adv|1
om/[8,9]|comp|cmp/body|te/[10,11]|comp|1
te/[10,11]|comp|cmp/body|werk_mee/[11,12]|verb|1
top/top|top|top/hd|ben/[1,2]|verb|1
uitgewerkt/[4,5]|adj|hd/mod|goed/[3,4]|adj|1
uitgewerkt/[4,5]|adj|hd/mod|zeer/[2,3]|adv|1
werk_mee/[11,12]|verb|hd/svp|mee/[9,10]|part|1
