Ipod, Imac,/[0,2]|name|-- / --|... /[2,3]|punct|1
houd_bezig/[36,37]|verb|hd/pc|met/[33,34]|prep|1
houd_bezig/[36,37]|verb|hd/se|je/[32,33]|pron|1
houd_bezig/[36,37]|verb|hd/svp|bezig/[34,35]|part|1
iets/[17,18]|noun|hd/mod|super_snel/[16,17]|adj|1
in contact/[8,10]|adj|hd/pc|met/[11,12]|prep|1
kan/[15,16]|verb|hd/su|je/[14,15]|pron|1
kan/[15,16]|verb|hd/vc|zoek_op/[18,19]|verb|1
leuk/[30,31]|adj|hd/mod|gewoon/[26,27]|adj|1
leuk/[30,31]|adj|hd/mod|heel/[27,28]|adv|1
leuk/[30,31]|adj|hd/vc|om/[31,32]|comp|1
met/[11,12]|prep|hd/obj1|vriend/[13,14]|noun|1
om/[31,32]|comp|cmp/body|te/[35,36]|comp|1
op/[19,20]|prep|hd/obj1|internet/[20,21]|noun|1
te/[35,36]|comp|cmp/body|houd_bezig/[36,37]|verb|1
tool/[4,5]|noun|hd/det|een/[2,3]|det|1
tool/[4,5]|noun|hd/mod|handig/[3,4]|adj|1
top/top|top|top/hd|ben/[1,2]|verb|1
vriend/[13,14]|noun|hd/det|je/[12,13]|det|1
waarbij/[5,6]|pp|rhd/body|blijf/[10,11]|verb|1
zoek_op/[18,19]|verb|hd/ld|op/[19,20]|prep|1
zoek_op/[18,19]|verb|hd/obj1|iets/[17,18]|noun|1
zoek_op/[18,19]|verb|hd/su|je/[14,15]|pron|1
